id	content	level	answer	choice_a	choice_b	choice_c	choice_d	formula	hint
27	Fundamental human-resource pricing structure	7	a	Tetracerus quadricornis	Conolophus subcristatus	Dacelo novaeguineae	Aonyx capensis	#6e091a	
28	Synchronised 3rd generation process improvement	1	c	Nasua nasua	Thalasseus maximus	Ciconia ciconia	Dendrocitta vagabunda	#4bc942	
29	Devolved transitional budgetary management	3	d	Tayassu tajacu	Caiman crocodilus	Anthropoides paradisea	Diomedea irrorata	#22f79a	
30	Reduced uniform encoding	6	d	Trichosurus vulpecula	Francolinus coqui	Sarcorhamphus papa	Coluber constrictor	#fca1ef	
31	Multi-tiered bottom-line orchestration	5	b	Spermophilus parryii	Ovis ammon	Ardea cinerea	Branta canadensis	#943150	
32	Sharable bottom-line frame	7	c	Semnopithecus entellus	Parus atricapillus	Hippotragus equinus	Naja sp.	#903551	
33	Realigned object-oriented methodology	9	a	unavailable	Bison bison	Cynictis penicillata	Limosa haemastica	#e7e745	
34	Universal methodical contingency	8	a	Alcelaphus buselaphus cokii	Otaria flavescens	Semnopithecus entellus	Dasypus novemcinctus	#c899e2	
35	Proactive executive intranet	9	a	Manouria emys	unavailable	Callipepla gambelii	Merops nubicus	#4a30cd	
36	Optional asymmetric moderator	6	d	Choloepus hoffmani	Suricata suricatta	Platalea leucordia	Agelaius phoeniceus	#8614a9	
37	Distributed demand-driven budgetary management	5	c	Macaca mulatta	Leptoptilus dubius	Coracias caudata	Thamnolaea cinnmomeiventris	#186bbe	
38	Vision-oriented optimizing process improvement	6	a	Tockus erythrorhyncus	Spheniscus mendiculus	Phalacrocorax varius	Diomedea irrorata	#2cad3a	
39	Public-key executive initiative	4	b	Uraeginthus bengalus	Dolichitus patagonum	Neotoma sp.	Actophilornis africanus	#926917	
40	Enhanced object-oriented installation	9	c	Mustela nigripes	Phoenicopterus ruber	Buteo regalis	Dicrostonyx groenlandicus	#7071a0	
41	Future-proofed regional encoding	7	d	Felis libyca	Graspus graspus	Sciurus niger	Oryx gazella	#884d41	
42	Pre-emptive high-level solution	3	d	Perameles nasuta	Kobus leche robertsi	Pedetes capensis	Canis mesomelas	#b62c3d	
43	Team-oriented interactive groupware	10	c	Eunectes sp.	Francolinus coqui	Haliaeetus leucoryphus	Limnocorax flavirostra	#db0efa	
44	Automated local circuit	3	c	Alopochen aegyptiacus	Ara chloroptera	Damaliscus dorcas	Rhea americana	#68c4bd	
45	Switchable encompassing solution	4	b	Speotyte cuniculata	Cygnus atratus	Panthera pardus	Ceratotherium simum	#bf4a32	
46	Synergized reciprocal collaboration	1	c	Ninox superciliaris	Bassariscus astutus	Ara macao	Chelodina longicollis	#014fe5	
47	Organic foreground ability	5	a	Mazama gouazoubira	Trachyphonus vaillantii	Microcebus murinus	Sciurus niger	#6a80fd	
48	Triple-buffered national hierarchy	7	d	Acrantophis madagascariensis	Estrilda erythronotos	Ammospermophilus nelsoni	Threskionis aethiopicus	#c23b1c	
49	Managed fresh-thinking database	10	d	unavailable	Kobus defassa	Cacatua tenuirostris	Lamprotornis superbus	#26bb2e	
50	Reverse-engineered 5th generation local area network	3	b	Panthera tigris	Pytilia melba	Phoeniconaias minor	Plectopterus gambensis	#fb9f73	
51	Cloned content-based leverage	6	a	Macaca mulatta	Spermophilus tridecemlineatus	Meles meles	Choriotis kori	#c03cb6	
52	Expanded interactive attitude	10	d	Colobus guerza	Tamiasciurus hudsonicus	Macropus rufus	Phalacrocorax carbo	#e7baf4	
53	Decentralized contextually-based time-frame	4	c	Tragelaphus strepsiceros	Bubo virginianus	Cervus duvauceli	Seiurus aurocapillus	#1472be	
54	Secured needs-based moratorium	2	d	Bubalornis niger	Corvus albus	Macropus rufogriseus	Morelia spilotes variegata	#717e3f	
55	Reactive upward-trending core	7	c	Uraeginthus angolensis	Myrmecophaga tridactyla	Calyptorhynchus magnificus	Rhea americana	#856d1e	
56	Cross-platform user-facing array	2	b	Nyctanassa violacea	Coendou prehensilis	Dicrostonyx groenlandicus	Tamiasciurus hudsonicus	#baaf4b	
57	Mandatory mobile paradigm	1	d	Panthera tigris	Speothos vanaticus	unavailable	Isoodon obesulus	#2220eb	
58	Profound even-keeled Graphical User Interface	9	b	Haematopus ater	Bugeranus caruncalatus	Plegadis falcinellus	Rhea americana	#88638c	
59	Triple-buffered intangible definition	8	b	Delphinus delphis	Dasypus novemcinctus	Butorides striatus	Psittacula krameri	#26960b	
60	Programmable contextually-based concept	5	a	Manouria emys	Kobus defassa	Lamprotornis nitens	Phalacrocorax albiventer	#95e237	
61	Ameliorated incremental time-frame	7	a	Connochaetus taurinus	Platalea leucordia	Aepyceros mylampus	Crotalus adamanteus	#668212	
62	User-centric optimal infrastructure	1	a	Laniaurius atrococcineus	Cervus elaphus	Trichoglossus haematodus moluccanus	Bettongia penicillata	#2a480a	
63	Enterprise-wide optimal paradigm	7	a	Coluber constrictor	Tockus erythrorhyncus	Trichosurus vulpecula	Picoides pubescens	#5479a5	
64	Enterprise-wide maximized hub	2	a	Colaptes campestroides	Mungos mungo	Ratufa indica	Smithopsis crassicaudata	#6fdf95	
65	Decentralized national hierarchy	7	c	Zenaida asiatica	Pseudalopex gymnocercus	Anthropoides paradisea	Aegypius tracheliotus	#56f083	
66	Synergistic leading edge workforce	8	b	Ciconia episcopus	Anthropoides paradisea	Buteo galapagoensis	Varanus komodensis	#503c2a	
67	Assimilated cohesive knowledge user	10	c	Columba livia	Oryx gazella callotis	Junonia genoveua	Francolinus coqui	#02fca5	
68	Vision-oriented impactful help-desk	9	d	Colobus guerza	Haliaeetus leucocephalus	Macropus agilis	Isoodon obesulus	#c81888	
69	Assimilated methodical moderator	3	a	Cervus canadensis	Papilio canadensis	Phascogale calura	Ceryle rudis	#e40ad9	
70	Optional discrete internet solution	4	b	Felis pardalis	Gazella granti	Ovibos moschatus	Orcinus orca	#16bcdc	
71	Synergized client-server utilisation	8	c	Anas bahamensis	Coluber constrictor	Macropus eugenii	Spheniscus mendiculus	#2f48c2	
72	Face to face bandwidth-monitored portal	6	a	Phacochoerus aethiopus	Bos frontalis	Cathartes aura	Cynomys ludovicianus	#90922d	
73	Exclusive intangible success	10	c	Threskionis aethiopicus	Paroaria gularis	Papilio canadensis	Felis rufus	#1cf826	
74	Profit-focused cohesive solution	8	d	Tamandua tetradactyla	Macaca mulatta	Trichoglossus haematodus moluccanus	Mabuya spilogaster	#4701f4	
75	Object-based intermediate collaboration	8	b	Carduelis uropygialis	Ratufa indica	Mustela nigripes	Francolinus leucoscepus	#f04b88	
76	Self-enabling secondary focus group	3	c	Egretta thula	Myrmecobius fasciatus	Felis caracal	Varanus salvator	#c2a54a	
77	Future-proofed holistic middleware	1	d	Laniarius ferrugineus	Diomedea irrorata	Thalasseus maximus	Dusicyon thous	#144604	
78	Cross-group human-resource leverage	8	d	Naja nivea	Francolinus coqui	Hystrix indica	Sarcophilus harrisii	#a2c355	
79	Customizable bottom-line structure	3	d	Haematopus ater	Coluber constrictor foxii	Geochelone elegans	Larus dominicanus	#ace9f4	
80	Public-key exuding approach	2	b	Alcelaphus buselaphus cokii	unavailable	Gyps bengalensis	Larus fuliginosus	#8fa969	
81	Realigned didactic process improvement	8	d	Chloephaga melanoptera	Sauromalus obesus	Echimys chrysurus	Cebus albifrons	#6a9206	
82	Self-enabling incremental moderator	2	d	Pycnonotus nigricans	Nyctea scandiaca	Hymenolaimus malacorhynchus	Limnocorax flavirostra	#18a13d	
83	Organic empowering open system	1	a	Oncorhynchus nerka	Spizaetus coronatus	Isoodon obesulus	Anastomus oscitans	#2065f3	
84	Fully-configurable neutral projection	6	d	Acridotheres tristis	Haliaeetus leucoryphus	Hyaena brunnea	Aonyx capensis	#a5f738	
85	Focused static firmware	2	b	Colobus guerza	Phascogale calura	Varanus sp.	Zosterops pallidus	#c65af7	
86	Public-key mobile synergy	3	b	Lama pacos	Eudyptula minor	Vanellus sp.	Ovis dalli stonei	#b418e0	
87	Operative bi-directional projection	6	d	Bugeranus caruncalatus	Cyrtodactylus louisiadensis	Rhea americana	Crotalus cerastes	#69ab7f	
88	Organized multimedia initiative	3	a	Coluber constrictor foxii	Podargus strigoides	Sylvicapra grimma	Numida meleagris	#ac298a	
89	Decentralized dedicated contingency	10	a	Sula dactylatra	Mycteria ibis	Martes pennanti	Gabianus pacificus	#e4d8a1	
90	Exclusive 24/7 framework	5	b	Phalacrocorax niger	Cordylus giganteus	Streptopelia senegalensis	Dipodomys deserti	#6a624d	
91	Automated content-based neural-net	3	c	Dasypus novemcinctus	Ninox superciliaris	Oncorhynchus nerka	Platalea leucordia	#09a4d3	
92	Reverse-engineered bandwidth-monitored adapter	10	a	Felis serval	Pitangus sulphuratus	Stercorarius longicausus	Tamandua tetradactyla	#427649	
93	Cloned systemic matrix	3	c	Ardea cinerea	Phoca vitulina	Connochaetus taurinus	Larus fuliginosus	#f682f4	
94	Integrated stable application	8	d	Alcelaphus buselaphus cokii	Diomedea irrorata	Varanus salvator	Psophia viridis	#daa839	
95	Profound composite process improvement	7	b	Pycnonotus nigricans	Lutra canadensis	Paraxerus cepapi	Ciconia ciconia	#e0844d	
96	Open-source 4th generation task-force	3	a	Phoca vitulina	Columba palumbus	Cyrtodactylus louisiadensis	Buteo jamaicensis	#3d36af	
97	Multi-tiered composite success	4	a	Geochelone elegans	Tetracerus quadricornis	Dasyurus viverrinus	Pelecanus occidentalis	#5bb004	
98	Cloned responsive data-warehouse	3	b	Terrapene carolina	Anastomus oscitans	Cyrtodactylus louisiadensis	Anitibyx armatus	#9ac0e5	
99	Networked directional installation	10	a	Alligator mississippiensis	Carduelis pinus	Plectopterus gambensis	Geochelone radiata	#ddacb6	
100	Focused next generation functionalities	1	c	Larus fuliginosus	Castor canadensis	Colaptes campestroides	Motacilla aguimp	#45ce38	
101	Seamless national instruction set	3	a	Chelodina longicollis	Perameles nasuta	Butorides striatus	Vicugna vicugna	#0b9d16	
102	Progressive empowering emulation	5	c	Sus scrofa	Lepilemur rufescens	Laniaurius atrococcineus	Genetta genetta	#4aa4b2	
103	Inverse fault-tolerant knowledge user	5	b	Pelecanus occidentalis	Phasianus colchicus	Sarcorhamphus papa	Dendrocitta vagabunda	#b487fd	
104	Multi-lateral intermediate functionalities	7	c	Tauraco porphyrelophus	Paradoxurus hermaphroditus	Antechinus flavipes	Alopochen aegyptiacus	#4f3db8	
105	Realigned contextually-based task-force	2	b	Nannopterum harrisi	Vombatus ursinus	Cebus apella	Paraxerus cepapi	#6c295f	
106	Up-sized foreground adapter	10	c	Echimys chrysurus	Camelus dromedarius	Lepus arcticus	Thamnolaea cinnmomeiventris	#499d96	
107	Intuitive tangible monitoring	6	d	Anser caerulescens	Genetta genetta	Macaca nemestrina	unavailable	#07be33	
108	Extended asynchronous function	4	b	Choloepus hoffmani	Macropus agilis	Lybius torquatus	Herpestes javanicus	#5d2a9f	
109	Organic web-enabled firmware	10	a	Manouria emys	Panthera pardus	Tenrec ecaudatus	Anser anser	#49eabf	
110	Reduced foreground extranet	3	c	Erethizon dorsatum	Acrantophis madagascariensis	Gekko gecko	unavailable	#c44cc6	
111	Reactive leading edge standardization	9	d	Acridotheres tristis	Geochelone elephantopus	Motacilla aguimp	Phaethon aethereus	#42755a	
112	Customizable heuristic utilisation	7	d	Dicrostonyx groenlandicus	Eolophus roseicapillus	Ramphastos tucanus	Ovis canadensis	#c3e453	
113	Operative client-server implementation	7	a	Cygnus atratus	Mycteria ibis	Chauna torquata	Mephitis mephitis	#d4fa3a	
114	Networked foreground circuit	8	c	Cacatua galerita	Plocepasser mahali	Alouatta seniculus	Colaptes campestroides	#1bd07f	
115	Optimized intangible ability	1	d	Eudromia elegans	unavailable	Ploceus intermedius	Macaca fuscata	#38e03b	
116	Reactive bottom-line secured line	4	c	unavailable	Ara chloroptera	Zosterops pallidus	Coendou prehensilis	#112f54	
117	Profound multi-tasking functionalities	8	a	unavailable	Bubalornis niger	Catharacta skua	Kobus defassa	#5eadd2	
118	Reduced uniform implementation	4	a	Damaliscus dorcas	Elephas maximus bengalensis	Ratufa indica	Sarkidornis melanotos	#30f6d3	
119	Up-sized heuristic frame	9	a	unavailable	Aegypius tracheliotus	Canis latrans	Geochelone radiata	#a1c460	
120	Centralized high-level secured line	4	c	Cabassous sp.	Chauna torquata	Hymenolaimus malacorhynchus	Petaurus breviceps	#e08433	
121	User-centric discrete framework	3	d	Ciconia episcopus	Lepus arcticus	Ceratotherium simum	Plegadis ridgwayi	#02d0cf	
122	Future-proofed non-volatile budgetary management	8	a	Anhinga rufa	Ciconia ciconia	Isoodon obesulus	Galictis vittata	#ee1078	
123	Diverse next generation workforce	10	a	Felis pardalis	Sciurus niger	Junonia genoveua	Leptoptilus dubius	#31a540	
124	Diverse needs-based algorithm	5	a	Tamiasciurus hudsonicus	Ephippiorhynchus mycteria	Streptopelia decipiens	Uraeginthus granatina	#272527	
125	Persevering needs-based interface	3	b	Crotalus adamanteus	Butorides striatus	Echimys chrysurus	Loxodonta africana	#38a44f	
126	Realigned logistical workforce	7	c	Cacatua galerita	Callipepla gambelii	Eumetopias jubatus	unavailable	#1f2cdc	
127	User-centric well-modulated functionalities	6	b	Mazama gouazoubira	Antechinus flavipes	Branta canadensis	Zenaida asiatica	#7419b1	
128	Decentralized incremental implementation	4	d	Ceratotherium simum	Agama sp.	Ceryle rudis	Limnocorax flavirostra	#1b4052	
129	Right-sized reciprocal adapter	8	b	Sarkidornis melanotos	Merops nubicus	Numida meleagris	Lorythaixoides concolor	#b41c5a	
130	Horizontal 24 hour productivity	9	d	Paroaria gularis	Papio cynocephalus	Felis wiedi or Leopardus weidi	Galictis vittata	#7e08d7	
131	Innovative intangible analyzer	4	d	Hystrix cristata	Alopex lagopus	Podargus strigoides	Sagittarius serpentarius	#752b70	
132	Robust fresh-thinking forecast	1	b	Balearica pavonina	Bucephala clangula	Gazella granti	Falco mexicanus	#84620e	
133	Cross-platform fresh-thinking frame	1	d	Epicrates cenchria maurus	Columba livia	Coendou prehensilis	Canis aureus	#2cec48	
134	Persevering eco-centric standardization	3	c	Otaria flavescens	Ardea cinerea	Lamprotornis superbus	Cebus nigrivittatus	#66758a	
135	User-friendly intermediate benchmark	10	c	Funambulus pennati	Cacatua tenuirostris	Uraeginthus granatina	Alces alces	#b9f775	
136	Realigned coherent hardware	5	d	Grus canadensis	Tamiasciurus hudsonicus	Proteles cristatus	Callorhinus ursinus	#0adff4	
137	Visionary optimizing emulation	7	d	Thalasseus maximus	Hyaena brunnea	Phascogale calura	Acridotheres tristis	#935eae	
138	Profit-focused tertiary alliance	1	b	Tringa glareola	Zonotrichia capensis	Redunca redunca	Tamandua tetradactyla	#a241ab	
139	Virtual responsive data-warehouse	9	a	Aonyx capensis	Carphophis sp.	Equus burchelli	Boa constrictor mexicana	#9c0f47	
140	Inverse multi-state moratorium	5	b	Lutra canadensis	Pelecans onocratalus	Panthera leo persica	Macropus robustus	#8e85c8	
141	Profit-focused mobile matrices	9	a	Actophilornis africanus	Climacteris melanura	Trichechus inunguis	Spermophilus tridecemlineatus	#565e2d	
142	Sharable 4th generation middleware	10	b	Morelia spilotes variegata	Myrmecophaga tridactyla	Sula dactylatra	Eudyptula minor	#da6d78	
143	Organic real-time pricing structure	1	c	Ara ararauna	Naja haje	Equus hemionus	Anhinga rufa	#a8efb6	
144	Profit-focused optimal capability	1	a	Canis aureus	Tamiasciurus hudsonicus	Vulpes vulpes	Galago crassicaudataus	#75c235	
145	Visionary mission-critical functionalities	9	b	Ratufa indica	Spermophilus tridecemlineatus	Trachyphonus vaillantii	Geococcyx californianus	#3ab095	
146	Customizable 5th generation core	5	b	Egretta thula	Canis aureus	Chelodina longicollis	Pelecanus occidentalis	#c55d7c	
147	Team-oriented composite product	3	c	Varanus salvator	Smithopsis crassicaudata	Acinynox jubatus	Felis serval	#311278	
148	Multi-tiered system-worthy instruction set	9	c	Canis lupus baileyi	Rhea americana	Phalaropus fulicarius	Picoides pubescens	#cd62e1	
149	Streamlined eco-centric definition	5	b	Tadorna tadorna	Varanus sp.	Trachyphonus vaillantii	Macropus eugenii	#ef1fe3	
150	De-engineered solution-oriented collaboration	4	c	Streptopelia senegalensis	Sylvilagus floridanus	Uraeginthus granatina	Manouria emys	#186cd2	
151	Customer-focused holistic encoding	10	d	Ovis canadensis	Lycaon pictus	Diomedea irrorata	Orcinus orca	#337b34	
152	Optional object-oriented analyzer	9	d	Damaliscus lunatus	Hymenolaimus malacorhynchus	Alligator mississippiensis	Ctenophorus ornatus	#335f07	
153	Monitored 24/7 adapter	2	b	Chlidonias leucopterus	Bettongia penicillata	Ceratotherium simum	Francolinus swainsonii	#32c238	
154	Advanced multimedia orchestration	6	c	Damaliscus lunatus	Bubalus arnee	Colaptes campestroides	Uraeginthus angolensis	#3bd566	
155	Versatile grid-enabled database	2	b	Gerbillus sp.	Speotyte cuniculata	Casmerodius albus	Anhinga rufa	#b23efe	
156	Quality-focused asymmetric hardware	1	d	Rana sp.	Lemur fulvus	Phalacrocorax brasilianus	Cervus canadensis	#77143e	
157	Sharable cohesive interface	2	c	Cygnus atratus	Columba palumbus	Bassariscus astutus	Ictalurus furcatus	#50b549	
158	Re-engineered explicit system engine	6	a	Macropus rufogriseus	Streptopelia senegalensis	Phascogale tapoatafa	Manouria emys	#beeed2	
159	Multi-channelled national challenge	3	a	Cynictis penicillata	Galago crassicaudataus	Carduelis pinus	Dasypus septemcincus	#c8c7de	
160	Optional human-resource functionalities	10	a	Ovis canadensis	Zalophus californicus	Motacilla aguimp	Platalea leucordia	#a51055	
161	Total fresh-thinking hub	9	a	Hyaena hyaena	Varanus salvator	Bucephala clangula	Kobus defassa	#143666	
162	Networked analyzing data-warehouse	8	c	Grus antigone	Numida meleagris	Vulpes cinereoargenteus	Cordylus giganteus	#879afa	
163	Face to face 24 hour portal	7	d	Pseudocheirus peregrinus	Phascogale calura	Gymnorhina tibicen	Hyaena hyaena	#76aca3	
164	Grass-roots disintermediate adapter	2	c	Crotaphytus collaris	Crotalus adamanteus	Alectura lathami	Merops sp.	#f4dac5	
165	Synergized local intranet	6	a	Didelphis virginiana	Lemur catta	Tayassu tajacu	Loxodonta africana	#915b4a	
166	Innovative optimal array	9	c	Charadrius tricollaris	Vanellus chilensis	Odocoileus hemionus	Tetracerus quadricornis	#efa9b4	
167	Digitized 4th generation collaboration	6	b	Gyps bengalensis	Delphinus delphis	Herpestes javanicus	Phaethon aethereus	#706d3b	
168	Secured interactive leverage	10	c	Bison bison	Erethizon dorsatum	Corvus albicollis	Capreolus capreolus	#08616e	
169	Pre-emptive optimal knowledge base	10	a	Lasiodora parahybana	Himantopus himantopus	Alectura lathami	Junonia genoveua	#9be20e	
170	Face to face heuristic service-desk	5	c	Myiarchus tuberculifer	Leptoptilus dubius	Phalaropus lobatus	Anthropoides paradisea	#b6f0c0	
171	Phased 3rd generation orchestration	7	b	Mazama gouazoubira	Corvus brachyrhynchos	Epicrates cenchria maurus	Cygnus atratus	#96d49d	
172	Synergistic incremental architecture	10	b	Ara macao	Megaderma spasma	Oryx gazella	Phalacrocorax niger	#5d427d	
173	Switchable dedicated intranet	3	c	Tyto novaehollandiae	Nasua narica	Sula nebouxii	Cordylus giganteus	#ee12b3	
174	Polarised intangible success	4	d	Aonyx cinerea	Microcebus murinus	Turtur chalcospilos	Zenaida galapagoensis	#a9b275	
175	Customer-focused exuding hierarchy	10	a	Phoenicopterus ruber	Dasyurus viverrinus	Chlamydosaurus kingii	Corythornis cristata	#47e058	
176	Multi-channelled disintermediate workforce	6	c	Lorythaixoides concolor	Uraeginthus granatina	Lycaon pictus	Mazama americana	#13e376	
177	Seamless discrete secured line	6	a	Acridotheres tristis	Larus dominicanus	Castor fiber	Francolinus leucoscepus	#ec31de	
178	Pre-emptive maximized policy	2	b	Bucephala clangula	Dicrurus adsimilis	Chlidonias leucopterus	Sula dactylatra	#5cfdf9	
179	Fundamental zero defect access	6	a	Nyctanassa violacea	Grus canadensis	Myotis lucifugus	Platalea leucordia	#0225da	
180	Down-sized analyzing standardization	1	a	Panthera leo	Phalaropus lobatus	Anastomus oscitans	Anathana ellioti	#22063d	
181	Assimilated global task-force	10	a	Phoeniconaias minor	Theropithecus gelada	Mirounga angustirostris	Phalaropus lobatus	#98d1e1	
182	Re-engineered asynchronous standardization	7	c	Ovis dalli stonei	Uraeginthus granatina	Grus rubicundus	Dipodomys deserti	#dfd1b9	
183	Switchable well-modulated encoding	6	d	Cebus albifrons	Milvus migrans	Ardea cinerea	Lycosa godeffroyi	#41dfcf	
184	Visionary 3rd generation initiative	1	b	Pycnonotus nigricans	Ara ararauna	Picoides pubescens	Lutra canadensis	#2537c1	
185	Object-based 5th generation forecast	6	c	Dusicyon thous	Theropithecus gelada	Dusicyon thous	Limosa haemastica	#a4fd16	
186	Open-source non-volatile encoding	8	c	Thylogale stigmatica	Martes americana	Tadorna tadorna	Lasiodora parahybana	#df59fe	
187	Distributed full-range methodology	5	a	Coluber constrictor	Geochelone elephantopus	Coendou prehensilis	Spheniscus magellanicus	#bcef24	
188	Multi-tiered cohesive benchmark	9	c	Taurotagus oryx	Actophilornis africanus	Vulpes chama	Lamprotornis chalybaeus	#0c6aa5	
189	Optional disintermediate toolset	7	a	Myiarchus tuberculifer	Cynictis penicillata	Epicrates cenchria maurus	Ratufa indica	#f388df	
190	Horizontal asymmetric paradigm	7	d	Tockus erythrorhyncus	Cebus nigrivittatus	Zenaida galapagoensis	Pseudalopex gymnocercus	#8f32ae	
191	Reduced 5th generation architecture	5	c	Callorhinus ursinus	Oreotragus oreotragus	Hymenolaimus malacorhynchus	Felis libyca	#39ac44	
192	Quality-focused encompassing model	4	c	Cebus nigrivittatus	Aonyx cinerea	Varanus sp.	Martes americana	#861c90	
193	Profit-focused encompassing matrix	2	c	Rhea americana	Phalacrocorax niger	Uraeginthus granatina	Amphibolurus barbatus	#1dc4ea	
194	Synchronised optimizing algorithm	10	c	Papio cynocephalus	Coluber constrictor	Neophron percnopterus	Petaurus norfolcensis	#3a9b56	
195	Extended client-driven policy	10	d	Ardea cinerea	Lycosa godeffroyi	Mirounga leonina	Callipepla gambelii	#aca7ab	
196	Compatible upward-trending structure	7	a	Aegypius tracheliotus	Nucifraga columbiana	Uraeginthus granatina	Certotrichas paena	#18c6b0	
197	Front-line intangible website	9	a	Helogale undulata	Cervus canadensis	Genetta genetta	Macaca fuscata	#3acb12	
198	Versatile coherent benchmark	1	b	Chlamydosaurus kingii	Laniarius ferrugineus	Dolichitus patagonum	Ephippiorhynchus mycteria	#b25be1	
199	Monitored bottom-line local area network	10	d	Caiman crocodilus	Sarcorhamphus papa	Phalacrocorax niger	Damaliscus dorcas	#8b0d2f	
200	Front-line client-driven alliance	8	d	Philetairus socius	Pteronura brasiliensis	Butorides striatus	Pycnonotus barbatus	#c8c90e	
201	Switchable 24/7 pricing structure	10	d	Naja haje	Oxybelis fulgidus	Aonyx cinerea	Varanus salvator	#5150e9	
202	Focused responsive local area network	7	d	Macropus rufus	Laniaurius atrococcineus	Phoenicopterus ruber	Lama glama	#825515	
203	Reactive mobile pricing structure	4	a	Crocodylus niloticus	Tursiops truncatus	Boa constrictor mexicana	Cebus apella	#dedff3	
204	Upgradable cohesive model	10	c	Trichoglossus haematodus moluccanus	Otaria flavescens	Paraxerus cepapi	Anas bahamensis	#ced915	
205	Streamlined analyzing budgetary management	10	c	Bos taurus	Macropus robustus	Larus fuliginosus	Turtur chalcospilos	#6299b2	
206	Synergistic homogeneous open architecture	6	c	Chelodina longicollis	Sagittarius serpentarius	Thalasseus maximus	Pandon haliaetus	#200a09	
207	Fully-configurable directional orchestration	4	a	Anitibyx armatus	Theropithecus gelada	Butorides striatus	Pelecanus occidentalis	#5b4d67	
208	Face to face object-oriented time-frame	6	b	Nyctanassa violacea	Sus scrofa	Aonyx capensis	Spermophilus lateralis	#97a6b4	
209	Balanced zero defect workforce	10	c	Odocoileus hemionus	Capreolus capreolus	Papio cynocephalus	Spizaetus coronatus	#237c23	
210	Synchronised system-worthy intranet	8	b	Macropus rufus	Spermophilus richardsonii	Anser caerulescens	Hystrix indica	#c930e0	
211	Networked zero administration frame	2	c	Crotalus adamanteus	Speothos vanaticus	Thylogale stigmatica	Anser anser	#14c31b	
